@RELATION regressao-ptpt-teste-entailment
@ATTRIBUTE tfidf REAL
@ATTRIBUTE word2vec REAL
@ATTRIBUTE binario REAL
@ATTRIBUTE tamanho REAL
@ATTRIBUTE class {Neutral, Entailment, Paraphrase}

@DATA

3.385824068287583 , 4.44 , 0.78 , 0.6923076923076923 , Entailment
3.5898198805178727 , 4.52 , 0.56 , 0.8888888888888888 , Paraphrase
2.5732917971547726 , 3.88 , 0.17 , 0.6 , Neutral
2.399891196015223 , 3.72 , 0.07 , 1.0 , Neutral
2.4609110719459073 , 3.76 , 0.2 , 0.8333333333333334 , Neutral
2.4074148462102443 , 3.24 , 0.18 , 0.8947368421052632 , Neutral
2.15420303482422 , 3.56 , 0.11 , 0.6 , Neutral
3.1587926753546234 , 3.36 , 0.09 , 0.9166666666666666 , Neutral
2.7359198011168306 , 3.48 , 0.14 , 0.9444444444444444 , Neutral
3.9090495825171963 , 4.64 , 0.63 , 1.0 , Paraphrase
3.2593809608836337 , 3.8 , 0.38 , 0.9090909090909091 , Entailment
2.4805118139403186 , 3.16 , 0.13 , 0.8888888888888888 , Neutral
2.7288342722301597 , 4.2 , 0.17 , 0.6666666666666666 , Paraphrase
1.2333878018090134 , 3.04 , -0.18 , 0.8461538461538461 , Neutral
3.232664751488484 , 4.48 , 0.5 , 0.8 , Paraphrase
3.7230763168002343 , 4.36 , 0.63 , 0.7619047619047619 , Entailment
2.7123644959219027 , 3.8 , 0.2 , 0.9090909090909091 , Neutral
2.5227816894311683 , 3.72 , 0.33 , 0.7058823529411765 , Entailment
2.8034979286767556 , 3.76 , 0.17 , 0.8571428571428571 , Neutral
2.854963797808029 , 3.6 , 0.09 , 1.0 , Neutral
3.0897373792744203 , 4.08 , 0.27 , 1.0 , Neutral
1.3975876878089548 , 3.36 , -0.09 , 0.6875 , Neutral
2.2018324932041677 , 3.32 , 0.0 , 0.7777777777777778 , Neutral
3.250609343067641 , 3.76 , 0.4 , 0.7692307692307693 , Paraphrase
2.4134908749442245 , 3.32 , 0.11 , 0.75 , Neutral
3.1496646407000535 , 4.28 , 0.56 , 0.45 , Entailment
3.1198597175579517 , 4.52 , 0.68 , 0.875 , Entailment
1.7654318864369694 , 3.96 , 0.11 , 0.9 , Neutral
3.1787194717156697 , 3.76 , 0.43 , 0.8235294117647058 , Neutral
3.765613333763548 , 4.04 , 0.5 , 0.7272727272727273 , Neutral
2.400527076519175 , 4.08 , 0.33 , 0.6 , Entailment
3.3625164626285997 , 4.28 , 0.6 , 0.8823529411764706 , Entailment
2.844415468948334 , 3.68 , 0.0 , 1.0 , Neutral
2.5203036599216393 , 3.56 , 0.0 , 0.8333333333333334 , Neutral
4.733877444015537 , 4.76 , 0.88 , 0.7391304347826086 , Entailment
2.7234858503572625 , 3.32 , 0.38 , 0.8666666666666667 , Neutral
2.5116774270820987 , 3.72 , 0.23 , 0.6842105263157895 , Neutral
2.2287976749594183 , 3.44 , 0.1 , 1.0 , Neutral
4.433894521950288 , 4.8 , 0.89 , 0.8947368421052632 , Paraphrase
2.793705210245042 , 3.92 , 0.43 , 0.6666666666666666 , Neutral
3.4254372179374593 , 3.92 , 0.4 , 0.5882352941176471 , Neutral
1.9336285690372743 , 3.44 , -0.2 , 1.0 , Neutral
2.3895826508184923 , 3.32 , 0.11 , 0.8181818181818182 , Neutral
3.045392727903223 , 3.92 , 0.2 , 0.5 , Entailment
2.3050982298949325 , 4.2 , 0.14 , 0.7777777777777778 , Paraphrase
2.318227662963781 , 3.52 , 0.33 , 1.0 , Entailment
2.360052733012647 , 3.84 , 0.23 , 0.8666666666666667 , Neutral
1.7918395446259223 , 3.6 , 0.2 , 0.9375 , Neutral
1.5016394628246221 , 3.52 , 0.0 , 0.6666666666666666 , Neutral
2.5435002849061465 , 4.52 , 0.56 , 0.5294117647058824 , Entailment
2.878672706722607 , 4.2 , 0.4 , 0.9090909090909091 , Neutral
1.6943623967168175 , 3.6 , 0.06 , 0.9444444444444444 , Neutral
1.7275306538411312 , 3.2 , -0.14 , 1.0 , Neutral
3.3544651857017986 , 3.72 , 0.43 , 0.875 , Neutral
1.8173711915064614 , 3.12 , -0.2 , 0.8823529411764706 , Neutral
2.536355607616499 , 3.68 , 0.0 , 0.6666666666666666 , Neutral
1.2501895570865433 , 3.04 , -0.38 , 0.9285714285714286 , Neutral
2.833138208403538 , 3.84 , 0.23 , 0.7222222222222222 , Neutral
3.5246279070836275 , 4.08 , 0.41 , 0.8095238095238095 , Neutral
3.3678185015427164 , 4.2 , 0.38 , 1.0 , Paraphrase
1.3992405551493645 , 3.32 , -0.06 , 0.8095238095238095 , Neutral
2.824692724239367 , 3.88 , 0.54 , 0.6842105263157895 , Neutral
3.5386726950083958 , 4.08 , 0.43 , 0.7 , Neutral
3.193241780709826 , 3.8 , 0.25 , 0.5 , Neutral
1.9640553820397397 , 3.8 , 0.0 , 0.7368421052631579 , Neutral
3.568036163237586 , 3.76 , 0.45 , 0.9166666666666666 , Paraphrase
2.6167689718883436 , 3.44 , 0.14 , 0.9285714285714286 , Neutral
2.189669114909906 , 3.2 , 0.09 , 0.8461538461538461 , Neutral
2.3211950581382883 , 3.36 , 0.14 , 0.7777777777777778 , Neutral
3.529618638736658 , 4.0 , 0.17 , 0.8571428571428571 , Entailment
1.8061453990124372 , 2.84 , -0.25 , 0.5333333333333333 , Neutral
2.4548303957974538 , 3.64 , 0.13 , 0.9230769230769231 , Neutral
2.015358127623206 , 3.96 , 0.2 , 0.6842105263157895 , Entailment
3.037057286134858 , 3.72 , 0.38 , 0.8 , Entailment
1.358474359928302 , 3.44 , 0.09 , 1.0 , Neutral
2.1917921088998176 , 3.36 , 0.08 , 0.8125 , Neutral
2.2582140108490387 , 3.84 , 0.43 , 0.5789473684210527 , Paraphrase
3.075450833490393 , 4.04 , 0.38 , 0.8125 , Neutral
3.460499234795396 , 4.52 , 0.75 , 0.47058823529411764 , Entailment
3.6898772824360813 , 4.12 , 0.43 , 0.5384615384615384 , Entailment
2.570015491842685 , 3.48 , 0.14 , 0.8235294117647058 , Neutral
4.083232843206817 , 4.6 , 0.78 , 0.42857142857142855 , Entailment
2.1970943356668693 , 3.8 , 0.08 , 0.8125 , Neutral
2.401909079372491 , 3.72 , 0.25 , 1.0 , Neutral
2.328655808635579 , 2.96 , -0.09 , 0.7333333333333333 , Neutral
2.931858004576015 , 3.6 , 0.33 , 0.75 , Paraphrase
2.5947904187226283 , 3.76 , 0.56 , 0.5625 , Entailment
2.686572575131218 , 3.84 , 0.5 , 0.7058823529411765 , Entailment
2.5086894400132294 , 3.92 , 0.23 , 0.7647058823529411 , Neutral
2.6279458524375223 , 3.84 , 0.38 , 0.7222222222222222 , Neutral
2.9469132686242876 , 3.6 , 0.13 , 0.8421052631578947 , Neutral
2.6450765048654796 , 3.56 , 0.23 , 0.8666666666666667 , Neutral
2.4103998371708544 , 3.4 , 0.08 , 0.9285714285714286 , Neutral
3.8497288976707185 , 4.68 , 0.76 , 0.85 , Paraphrase
3.7053602876403744 , 4.44 , 0.67 , 0.6 , Entailment
2.620004395025195 , 4.28 , 0.17 , 0.8571428571428571 , Entailment
1.221538933200699 , 3.44 , 0.07 , 0.8 , Neutral
3.439159516769568 , 4.16 , 0.25 , 0.6153846153846154 , Entailment
2.900097820618691 , 3.52 , 0.15 , 0.8125 , Neutral
2.178684514469352 , 3.84 , 0.43 , 0.7 , Neutral
3.284669954197152 , 3.84 , 0.29 , 0.9444444444444444 , Neutral
1.7104968713865916 , 3.4 , 0.0 , 0.9411764705882353 , Neutral
3.4964313347568314 , 4.32 , 0.67 , 0.6666666666666666 , Entailment
3.8334704248996445 , 4.88 , 0.8 , 0.5555555555555556 , Entailment
1.9376374486648154 , 3.44 , -0.33 , 0.8333333333333334 , Neutral
3.6676961345157952 , 4.64 , 0.82 , 0.6470588235294118 , Entailment
2.4318374531108606 , 3.84 , 0.23 , 1.0 , Entailment
2.7012910512910397 , 3.52 , 0.11 , 1.0 , Neutral
2.3983941246772646 , 3.88 , 0.45 , 0.5789473684210527 , Neutral
3.846765737359939 , 4.6 , 0.82 , 0.6470588235294118 , Entailment
3.0460451787319087 , 4.4 , 0.67 , 0.46153846153846156 , Entailment
3.576202471502702 , 4.36 , 0.71 , 0.9333333333333333 , Paraphrase
